[7/5/18 05:19PM]	Sent Private-Message to User: vali and said 'i think the obsticale pipe in taverly dung is bugged '	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=213, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:41PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:42PM]	Picked up an item (Id: Item [id=1181, amount=1], Amount: 1) at Position: 2663, 9480, 0	
[7/6/18 02:42PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:42PM]	Picked up an item (Id: Item [id=995, amount=20], Amount: 20) at Position: 2664, 9480, 0	
[7/6/18 02:42PM]	Picked up an item (Id: Item [id=379, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:42PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:42PM]	Picked up an item (Id: Item [id=995, amount=15], Amount: 15) at Position: 2657, 9479, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2657, 9479, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2660, 9480, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=12158, amount=11], Amount: 11) at Position: 2660, 9480, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2660, 9480, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2662, 9480, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2663, 9481, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2663, 9481, 0	
[7/6/18 02:43PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2663, 9481, 0	
[7/6/18 02:44PM]	Picked up an item (Id: Item [id=554, amount=37], Amount: 37) at Position: 2663, 9481, 0	
[7/6/18 02:44PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9481, 0	
[7/6/18 02:44PM]	Picked up an item (Id: Item [id=554, amount=79], Amount: 79) at Position: 2659, 9480, 0	
[7/6/18 02:44PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9481, 0	
[7/6/18 02:45PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2659, 9481, 0	
[7/6/18 02:45PM]	Picked up an item (Id: Item [id=12163, amount=3], Amount: 3) at Position: 2657, 9480, 0	
[7/6/18 02:45PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:45PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:45PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:45PM]	Picked up an item (Id: Item [id=211, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:46PM]	Picked up an item (Id: Item [id=995, amount=35], Amount: 35) at Position: 2663, 9480, 0	
[7/6/18 02:46PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:46PM]	Picked up an item (Id: Item [id=12160, amount=4], Amount: 4) at Position: 2659, 9479, 0	
[7/6/18 02:46PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:46PM]	Dropped Item (Id: Item [id=1181, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:46PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:46PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:47PM]	Dropped Item (Id: Item [id=355, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:47PM]	Dropped Item (Id: Item [id=355, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:47PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:47PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:47PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9479, 0	
[7/6/18 02:47PM]	Picked up an item (Id: Item [id=995, amount=25], Amount: 25) at Position: 2658, 9480, 0	
[7/6/18 02:47PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2658, 9480, 0	
[7/6/18 02:48PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:48PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:52PM]	Picked up an item (Id: Item [id=12160, amount=3], Amount: 3) at Position: 2659, 9499, 0	
[7/6/18 02:52PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2659, 9499, 0	
[7/6/18 02:52PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 2659, 9499, 0	
[7/6/18 02:52PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2654, 9488, 0	
[7/6/18 02:52PM]	Picked up an item (Id: Item [id=213, amount=1], Amount: 1) at Position: 2654, 9488, 0	
[7/6/18 02:53PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:53PM]	Picked up an item (Id: Item [id=12163, amount=9], Amount: 9) at Position: 2657, 9480, 0	
[7/6/18 02:53PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:53PM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:53PM]	Picked up an item (Id: Item [id=217, amount=1], Amount: 1) at Position: 2657, 9480, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2663, 9480, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=995, amount=25], Amount: 25) at Position: 2658, 9481, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2657, 9482, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2657, 9482, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=1393, amount=1], Amount: 1) at Position: 2661, 9482, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2662, 9482, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=562, amount=10], Amount: 10) at Position: 2662, 9482, 0	
[7/6/18 02:54PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 2662, 9482, 0	
[7/6/18 02:55PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2666, 9481, 0	
[7/6/18 02:55PM]	Picked up an item (Id: Item [id=12163, amount=9], Amount: 9) at Position: 2666, 9481, 0	
[7/6/18 02:55PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2666, 9481, 0	
[7/6/18 02:55PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9481, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=995, amount=25], Amount: 25) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=12163, amount=7], Amount: 7) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=554, amount=60], Amount: 60) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 02:57PM]	Dropped Item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 02:57PM]	Dropped Item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 02:57PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 02:58PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 02:58PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2664, 9482, 0	
[7/6/18 02:58PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9481, 0	
[7/6/18 02:58PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2664, 9481, 0	
[7/6/18 02:59PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 02:59PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9489, 0	
[7/6/18 03:00PM]	Picked up an item (Id: Item [id=12158, amount=5], Amount: 5) at Position: 2666, 9481, 0	
[7/6/18 03:00PM]	Picked up an item (Id: Item [id=554, amount=68], Amount: 68) at Position: 2665, 9482, 0	
[7/6/18 03:00PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 03:00PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2665, 9481, 0	
[7/6/18 03:00PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 03:01PM]	Picked up an item (Id: Item [id=1393, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 03:01PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 03:01PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 03:02PM]	Picked up an item (Id: Item [id=554, amount=45], Amount: 45) at Position: 2658, 9479, 0	
[7/6/18 03:02PM]	Picked up an item (Id: Item [id=563, amount=6], Amount: 6) at Position: 2658, 9479, 0	
[7/6/18 03:02PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2658, 9479, 0	
[7/6/18 03:02PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9480, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2660, 9491, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2660, 9492, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=215, amount=1], Amount: 1) at Position: 2660, 9492, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=892, amount=12], Amount: 12) at Position: 2668, 9487, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2668, 9487, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2668, 9487, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 2665, 9481, 0	
[7/6/18 03:05PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2664, 9480, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2665, 9480, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9480, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=12158, amount=2], Amount: 2) at Position: 2665, 9480, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 03:06PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2666, 9488, 0	
[7/6/18 03:07PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9482, 0	
[7/6/18 03:07PM]	Dropped Item (Id: Item [id=1353, amount=1], Amount: 1) at Position: 2666, 9482, 0	
[7/6/18 03:07PM]	Picked up an item (Id: Item [id=2353, amount=1], Amount: 1) at Position: 2666, 9481, 0	
[7/6/18 03:07PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2666, 9481, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=565, amount=5], Amount: 5) at Position: 2666, 9481, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2665, 9482, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 2668, 9487, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2668, 9487, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=1, amount=1], Amount: 1) at Position: 2668, 9487, 0	
[7/6/18 03:08PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 2668, 9487, 0	
[7/6/18 03:09PM]	Picked up an item (Id: Item [id=1181, amount=1], Amount: 1) at Position: 2665, 9483, 0	
[7/6/18 03:09PM]	Picked up an item (Id: Item [id=12158, amount=2], Amount: 2) at Position: 2665, 9483, 0	
[7/6/18 03:09PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2665, 9483, 0	
[7/6/18 03:09PM]	Dropped Item (Id: Item [id=1181, amount=1], Amount: 1) at Position: 2665, 9483, 0	
[7/6/18 03:09PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 2667, 9490, 0	
[7/6/18 03:09PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2667, 9490, 0	
[7/6/18 03:10PM]	Picked up an item (Id: Item [id=532, amount=1], Amount: 1) at Position: 2663, 9480, 0	
[7/6/18 03:10PM]	Picked up an item (Id: Item [id=213, amount=1], Amount: 1) at Position: 2663, 9480, 0	
[7/6/18 04:14PM]	Sent Private-Message to User: vali and said 'would you ever consider making the fight caves like the last 10 waves? '	
[7/6/18 04:15PM]	Sent Private-Message to User: vali and said 'like the 10 prior waves before jad then fight jad '	
[7/6/18 04:15PM]	Recieved Private-Message from User: Vali which said 'yeah of course '	
[7/6/18 04:15PM]	Sent Private-Message to User: vali and said 'niiiice'	
[7/6/18 04:15PM]	Recieved Private-Message from User: Vali which said 'although it would need to be 16'	
[7/6/18 04:15PM]	Sent Private-Message to User: vali and said 'the whole process is toxic lol '	
[7/6/18 04:15PM]	Recieved Private-Message from User: Vali which said 'since we have a gold member feature '	
[7/6/18 04:15PM]	Recieved Private-Message from User: Vali which said 'that cuts the waves in half '	
[7/6/18 04:15PM]	Recieved Private-Message from User: Vali which said '16 waves for normal players '	
[7/6/18 04:15PM]	Recieved Private-Message from User: Vali which said '8 for gold members'	
[7/6/18 04:16PM]	Sent Private-Message to User: vali and said 'what do you get for gold member? '	
[7/6/18 04:16PM]	Sent Private-Message to User: vali and said 'like all the bonuses'	
[7/6/18 04:16PM]	Recieved Private-Message from User: Vali which said 'uhm'	
[7/6/18 04:16PM]	Recieved Private-Message from User: Vali which said 'summoning familiar specials attacks dont need scrolls '	
[7/6/18 04:16PM]	Recieved Private-Message from User: Vali which said '[$] title in-game '	
[7/6/18 04:16PM]	Recieved Private-Message from User: Vali which said 'you can use the resting feature '	
[7/6/18 04:16PM]	Recieved Private-Message from User: Vali which said 'on the run orb '	
[7/6/18 04:17PM]	Recieved Private-Message from User: Vali which said 'extra slayer points on task completion '	
[7/6/18 04:17PM]	Recieved Private-Message from User: Vali which said 'ability to sell more items in your player owned shop '	
[7/6/18 04:17PM]	Recieved Private-Message from User: Vali which said 'extra pest control points per game '	
[7/6/18 04:17PM]	Recieved Private-Message from User: Vali which said 'god wars requires half the kill count to enter'	
[7/6/18 04:17PM]	Recieved Private-Message from User: Vali which said 'runecrafting pouches hold more essence '	
[7/6/18 04:17PM]	Sent Private-Message to User: vali and said 'you should for sure add this to forum '	
[7/6/18 04:17PM]	Recieved Private-Message from User: Vali which said 'keep 5 items when dying outside the wildeness instead of 3'	
[7/6/18 04:18PM]	Recieved Private-Message from User: Vali which said 'keep all untradeables on death '	
[7/6/18 04:18PM]	Recieved Private-Message from User: Vali which said 'resetting a slayer task costs 50% less '	
[7/6/18 04:18PM]	Sent Private-Message to User: vali and said 'i'm sure if more people know about it more would donate'	
[7/6/18 04:18PM]	Recieved Private-Message from User: Vali which said 'i'll make a thread about it on the forums '	
[7/6/18 04:19PM]	Recieved Private-Message from User: Vali which said 'either way we aren't making this server for money'	
[7/6/18 04:19PM]	Recieved Private-Message from User: Vali which said 'we just wanna be around for awhile'	
[7/6/18 04:19PM]	Recieved Private-Message from User: Vali which said 'my goal is to get 150 players'	
[7/6/18 04:20PM]	Recieved Private-Message from User: Vali which said 'then 300 '	
[7/6/18 04:20PM]	Sent Private-Message to User: vali and said 'advertisement is key haha. people like media '	
[7/6/18 04:20PM]	Recieved Private-Message from User: Vali which said 'yeah i ran a server in the past called ardi '	
[7/6/18 04:20PM]	Sent Private-Message to User: vali and said 'also show leaderboards a lot of people like playing just for that'	
[7/6/18 04:20PM]	Recieved Private-Message from User: Vali which said 'and it hit 100 players '	
[7/6/18 04:20PM]	Sent Private-Message to User: vali and said 'oh nice'	
[7/6/18 04:20PM]	Sent Private-Message to User: vali and said 'how much is gold member'	
[7/6/18 04:21PM]	Recieved Private-Message from User: Vali which said 'it's 10 bucks '	
[7/6/18 04:21PM]	Sent Private-Message to User: vali and said 'paypal only? '	
[7/6/18 04:21PM]	Recieved Private-Message from User: Vali which said 'yeah '	
[7/6/18 04:22PM]	Sent Private-Message to User: vali and said 'i'll try to set another one up but last time i did it was a fuck fest lol '	
[7/6/18 04:22PM]	Recieved Private-Message from User: Vali which said 'haha :p '	
[7/6/18 06:58PM]	Sent Private-Message to User: vali and said 'what are member point scrolls? '	
[7/6/18 06:59PM]	Recieved Private-Message from User: Vali which said 'they give you member points '	
[7/6/18 06:59PM]	Sent Private-Message to User: vali and said 'what do you get with the points'	
[7/7/18 06:22PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3512, 9497, 2	
[7/7/18 06:22PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3512, 9497, 2	
[7/7/18 06:23PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3507, 9493, 2	
[7/7/18 06:24PM]	Picked up an item (Id: Item [id=560, amount=10], Amount: 10) at Position: 3508, 9493, 2	
[7/7/18 06:25PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3508, 9493, 2	
[7/7/18 06:25PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 3509, 9492, 2	
[7/7/18 06:25PM]	Picked up an item (Id: Item [id=1157, amount=1], Amount: 1) at Position: 3509, 9493, 2	
[7/7/18 06:26PM]	Picked up an item (Id: Item [id=12159, amount=4], Amount: 4) at Position: 3509, 9493, 2	
[7/7/18 06:26PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 3510, 9492, 2	
[7/7/18 06:26PM]	Picked up an item (Id: Item [id=2485, amount=1], Amount: 1) at Position: 3510, 9492, 2	
[7/7/18 06:26PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3510, 9492, 2	
[7/7/18 06:28PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 3513, 9491, 2	
[7/7/18 06:29PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3509, 9492, 2	
[7/7/18 06:29PM]	Picked up an item (Id: Item [id=1331, amount=1], Amount: 1) at Position: 3510, 9490, 2	
[7/7/18 06:29PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3510, 9491, 2	
[7/7/18 06:30PM]	Picked up an item (Id: Item [id=1109, amount=1], Amount: 1) at Position: 3505, 9493, 2	
[7/7/18 06:30PM]	Picked up an item (Id: Item [id=207, amount=1], Amount: 1) at Position: 3504, 9494, 2	
[7/7/18 06:30PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3513, 9493, 2	
[7/7/18 06:30PM]	Picked up an item (Id: Item [id=985, amount=1], Amount: 1) at Position: 3512, 9494, 2	
[7/7/18 06:31PM]	Picked up an item (Id: Item [id=1231, amount=1], Amount: 1) at Position: 3507, 9494, 2	
[7/7/18 06:32PM]	Picked up an item (Id: Item [id=562, amount=3], Amount: 3) at Position: 3507, 9494, 2	
[7/7/18 06:32PM]	Picked up an item (Id: Item [id=1231, amount=1], Amount: 1) at Position: 3512, 9493, 2	
[7/7/18 06:33PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 3513, 9493, 2	
[7/7/18 06:33PM]	Picked up an item (Id: Item [id=1161, amount=1], Amount: 1) at Position: 3506, 9494, 2	
[7/7/18 06:33PM]	Picked up an item (Id: Item [id=12160, amount=8], Amount: 8) at Position: 3506, 9494, 2	
[7/7/18 06:33PM]	Picked up an item (Id: Item [id=203, amount=1], Amount: 1) at Position: 3506, 9494, 2	
[7/7/18 06:33PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 3506, 9494, 2	
[7/7/18 06:33PM]	Picked up an item (Id: Item [id=560, amount=10], Amount: 10) at Position: 3511, 9492, 2	
[7/7/18 06:34PM]	Picked up an item (Id: Item [id=1131, amount=1], Amount: 1) at Position: 3504, 9495, 2	
[7/7/18 06:34PM]	Picked up an item (Id: Item [id=1357, amount=1], Amount: 1) at Position: 3504, 9495, 2	
[7/7/18 06:34PM]	Picked up an item (Id: Item [id=12159, amount=3], Amount: 3) at Position: 3504, 9495, 2	
[7/7/18 06:34PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3511, 9492, 2	
[7/7/18 06:34PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 3512, 9492, 2	
[7/7/18 06:35PM]	Picked up an item (Id: Item [id=12160, amount=3], Amount: 3) at Position: 3505, 9496, 2	
[7/7/18 06:35PM]	Dropped Item (Id: Item [id=1153, amount=1], Amount: 1) at Position: 3505, 9496, 2	
[7/7/18 06:35PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 3505, 9496, 2	
[7/7/18 06:35PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 3505, 9496, 2	
[7/7/18 06:37PM]	Picked up an item (Id: Item [id=12163, amount=3], Amount: 3) at Position: 3510, 9493, 2	
[7/7/18 06:37PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 3510, 9494, 2	
[7/7/18 06:37PM]	Picked up an item (Id: Item [id=560, amount=10], Amount: 10) at Position: 3508, 9492, 2	
[7/7/18 06:38PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3504, 9498, 2	
[7/7/18 06:38PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 3504, 9498, 2	
[7/7/18 06:39PM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 3514, 9492, 2	
[7/7/18 06:39PM]	Picked up an item (Id: Item [id=1331, amount=1], Amount: 1) at Position: 3505, 9498, 2	
[7/7/18 06:39PM]	Picked up an item (Id: Item [id=1181, amount=1], Amount: 1) at Position: 3505, 9497, 2	
[7/7/18 06:39PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3505, 9497, 2	
[7/7/18 06:40PM]	Picked up an item (Id: Item [id=561, amount=1], Amount: 1) at Position: 3511, 9495, 2	
[7/7/18 06:40PM]	Picked up an item (Id: Item [id=987, amount=1], Amount: 1) at Position: 3511, 9494, 2	
[7/7/18 06:40PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3511, 9494, 2	
[7/7/18 06:40PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3507, 9494, 2	
[7/7/18 06:40PM]	Picked up an item (Id: Item [id=215, amount=1], Amount: 1) at Position: 3506, 9495, 2	
[7/7/18 06:40PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3506, 9495, 2	
[7/7/18 06:41PM]	Picked up an item (Id: Item [id=201, amount=1], Amount: 1) at Position: 3505, 9495, 2	
[7/7/18 06:41PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3505, 9495, 2	
[7/7/18 06:42PM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 3508, 9495, 2	
[7/7/18 06:42PM]	Picked up an item (Id: Item [id=1357, amount=1], Amount: 1) at Position: 3508, 9495, 2	
[7/7/18 06:42PM]	Picked up an item (Id: Item [id=209, amount=1], Amount: 1) at Position: 3508, 9495, 2	
[7/7/18 06:42PM]	Picked up an item (Id: Item [id=562, amount=3], Amount: 3) at Position: 3507, 9495, 2	
[7/7/18 06:43PM]	Picked up an item (Id: Item [id=205, amount=1], Amount: 1) at Position: 3507, 9495, 2	
[7/7/18 06:43PM]	Picked up an item (Id: Item [id=211, amount=1], Amount: 1) at Position: 3508, 9494, 2	
[7/7/18 06:44PM]	Picked up an item (Id: Item [id=6759, amount=1], Amount: 1) at Position: 3506, 9495, 2	
[7/7/18 07:07PM]	Picked up an item (Id: Item [id=12163, amount=2], Amount: 2) at Position: 3512, 9497, 2	
[7/7/18 07:07PM]	Picked up an item (Id: Item [id=559, amount=3], Amount: 3) at Position: 3506, 9495, 2	
[7/7/18 07:08PM]	Picked up an item (Id: Item [id=2714, amount=1], Amount: 1) at Position: 3505, 9496, 2	
[7/7/18 07:08PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3505, 9496, 2	
[7/7/18 07:09PM]	Picked up an item (Id: Item [id=199, amount=1], Amount: 1) at Position: 3505, 9496, 2	
[7/7/18 07:09PM]	Picked up an item (Id: Item [id=1231, amount=1], Amount: 1) at Position: 3502, 9482, 2	
